time_taken,optimal_solution,states_visited,heuristic_variation
0.0016176700592041016,30,3,"[6, 3, 1, 0]"
0.0014743804931640625,30,3,"[6, 3, 1, 0]"
0.0014891624450683594,30,3,"[6, 3, 1, 0]"
0.001680135726928711,30,3,"[6, 3, 1, 0]"
0.0026140213012695312,30,3,"[6, 3, 1, 0]"
0.0022788047790527344,30,3,"[6, 3, 1, 0]"
0.0016782283782958984,30,3,"[6, 3, 1, 0]"
0.0015294551849365234,30,3,"[6, 3, 1, 0]"
0.0014348030090332031,30,3,"[6, 3, 1, 0]"
0.0014722347259521484,30,3,"[6, 3, 1, 0]"
0.0014369487762451172,30,3,"[6, 3, 1, 0]"
0.0014414787292480469,30,3,"[6, 3, 1, 0]"
0.001735687255859375,30,3,"[6, 3, 1, 0]"
0.0019373893737792969,30,3,"[6, 3, 1, 0]"
0.001645803451538086,30,3,"[6, 3, 1, 0]"
0.0014543533325195312,30,3,"[6, 3, 1, 0]"
0.001481771469116211,30,3,"[6, 3, 1, 0]"
0.0014617443084716797,30,3,"[6, 3, 1, 0]"
0.0014374256134033203,30,3,"[6, 3, 1, 0]"
0.0014395713806152344,30,3,"[6, 3, 1, 0]"
0.0014507770538330078,30,3,"[6, 3, 1, 0]"
0.0014417171478271484,30,3,"[6, 3, 1, 0]"
0.0018367767333984375,30,3,"[6, 3, 1, 0]"
0.0015034675598144531,30,3,"[6, 3, 1, 0]"
0.0014455318450927734,30,3,"[6, 3, 1, 0]"
0.0014433860778808594,30,3,"[6, 3, 1, 0]"
0.0014426708221435547,30,3,"[6, 3, 1, 0]"
0.0014379024505615234,30,3,"[6, 3, 1, 0]"
0.0014510154724121094,30,3,"[6, 3, 1, 0]"
0.0014421939849853516,30,3,"[6, 3, 1, 0]"
