time_taken,optimal_solution,states_visited,heuristic_variation
0.3053090572357178,30,324,"[6, 4, 4, 4, 4, 2, 3, 4, 5, 4, 5, 5, 5, 5, 4, 4, 5, 3, 1, 1, 3, 4, 4, 2, 2, 2, 4, 4, 5, 5, 3, 3, 3, 3, 5, 4, 3, 3, 5, 5, 3, 3, 2, 2, 4, 3, 5, 5, 2, 4, 2, 2, 2, 3, 2, 4, 3, 4, 4, 4, 6, 4, 4, 4, 3, 2, 2, 4, 4, 4, 4, 5, 4, 4, 4, 3, 3, 1, 2, 2, 4, 4, 4, 4, 6, 6, 6, 4, 4, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 2, 4, 3, 4, 6, 6, 4, 5, 3, 3, 3, 3, 3, 5, 5, 5, 3, 3, 4, 3, 4, 4, 3, 4, 3, 3, 3, 3, 4, 3, 3, 3, 2, 4, 3, 3, 5, 5, 2, 3, 2, 4, 3, 3, 3, 3, 4, 3, 3, 4, 2, 1, 1, 1, 1, 1, 1, 3, 5, 3, 4, 3, 2, 4, 4, 3, 3, 2, 3, 1, 1, 3, 5, 5, 5, 4, 4, 4, 4, 5, 4, 2, 2, 2, 2, 2, 4, 4, 2, 1, 3, 5, 5, 5, 4, 3, 5, 3, 3, 2, 4, 3, 4, 1, 1, 2, 2, 2, 2, 3, 3, 4, 4, 3, 3, 5, 3, 2, 2, 2, 1, 3, 3, 1, 4, 4, 4, 4, 3, 4, 3, 3, 2, 4, 4, 2, 2, 4, 5, 4, 4, 3, 3, 4, 6, 5, 5, 5, 5, 5, 4, 3, 1, 2, 2, 2, 2, 4, 6, 6, 6, 6, 3, 5, 2, 4, 4, 2, 4, 4, 4, 4, 2, 4, 4, 4, 5, 4, 3, 4, 3, 2, 1, 1, 2, 2, 2, 2, 1, 4, 2, 2, 2, 3, 3, 3, 3, 3, 1, 1, 1, 1, 2, 5, 5, 6, 4, 5, 6, 4, 3, 3, 4, 2, 2, 2, 3, 3, 2, 2, 4, 2, 2, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 3, 4, 3, 1, 1, 1, 1, 1, 2, 4, 5, 4, 4, 2, 2, 2, 2, 2, 2, 4, 4, 4, 3, 3, 4, 2, 2, 2, 3, 2, 5, 6, 4, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 5, 4, 4, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 2, 2, 2, 1, 1, 1, 2, 3, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 1, 2, 2, 2, 3, 3, 1, 1, 1, 1, 0]"
0.0031583309173583984,30,26,"[6, 4, 4, 4, 4, 4, 4, 4, 5, 3, 3, 1, 1, 2, 2, 2, 2, 4, 6, 4, 5, 5, 3, 2, 2, 3, 3, 3, 4, 4, 4, 4, 2, 0]"
0.0012621879577636719,30,14,"[6, 3, 3, 2, 1, 2, 2, 2, 3, 4, 4, 3, 4, 4, 4, 3, 0]"
0.22083258628845215,30,253,"[6, 4, 4, 4, 4, 5, 4, 2, 3, 3, 3, 3, 3, 2, 2, 3, 3, 4, 4, 6, 3, 3, 2, 2, 4, 3, 5, 5, 4, 4, 4, 5, 5, 5, 3, 3, 2, 3, 4, 4, 3, 2, 4, 2, 4, 4, 3, 4, 4, 6, 5, 5, 3, 3, 3, 3, 4, 2, 1, 1, 3, 2, 1, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 3, 1, 1, 3, 3, 4, 3, 2, 2, 2, 2, 2, 3, 4, 4, 3, 5, 4, 3, 4, 3, 3, 2, 2, 2, 4, 6, 5, 5, 3, 4, 4, 4, 4, 5, 5, 3, 4, 3, 2, 2, 2, 2, 2, 1, 1, 2, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 4, 5, 5, 5, 4, 4, 3, 4, 6, 5, 4, 2, 4, 4, 4, 2, 4, 2, 2, 4, 4, 3, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 2, 2, 3, 3, 3, 3, 3, 3, 4, 6, 5, 5, 5, 2, 1, 1, 2, 2, 3, 2, 3, 2, 2, 3, 3, 2, 4, 4, 4, 3, 1, 3, 3, 3, 5, 4, 3, 4, 2, 4, 3, 1, 2, 1, 4, 3, 3, 2, 2, 4, 3, 3, 3, 3, 5, 5, 3, 1, 3, 3, 3, 3, 4, 4, 2, 4, 6, 6, 5, 3, 3, 3, 2, 4, 5, 6, 6, 4, 4, 4, 3, 5, 5, 5, 4, 4, 4, 4, 4, 2, 4, 3, 3, 3, 3, 4, 4, 3, 5, 5, 2, 3, 2, 3, 4, 4, 6, 6, 4, 4, 4, 2, 3, 2, 1, 1, 2, 4, 4, 3, 3, 2, 3, 4, 3, 3, 2, 2, 1, 4, 4, 4, 3, 4, 4, 4, 4, 5, 3, 3, 2, 2, 4, 2, 5, 5, 5, 3, 4, 4, 4, 3, 4, 2, 2, 2, 2, 2, 3, 3, 5, 5, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 0]"
0.010754108428955078,30,52,"[6, 3, 3, 3, 3, 4, 4, 4, 4, 5, 2, 2, 2, 2, 3, 3, 5, 3, 4, 2, 2, 1, 3, 4, 3, 3, 4, 3, 4, 4, 3, 2, 2, 4, 4, 5, 3, 2, 3, 2, 2, 2, 3, 3, 5, 4, 4, 3, 4, 5, 5, 4, 4, 4, 3, 3, 5, 5, 4, 4, 4, 4, 4, 4, 4, 2, 2, 0]"
0.003906726837158203,30,20,"[6, 4, 3, 3, 4, 4, 4, 4, 5, 2, 5, 4, 4, 3, 3, 4, 4, 3, 2, 2, 2, 2, 3, 3, 3, 3, 0]"
0.06796741485595703,30,167,"[6, 6, 4, 3, 2, 2, 1, 2, 2, 3, 3, 3, 3, 5, 5, 5, 4, 6, 4, 4, 4, 5, 4, 1, 1, 4, 3, 5, 5, 5, 5, 5, 2, 2, 2, 3, 3, 4, 4, 5, 5, 3, 4, 3, 4, 3, 3, 3, 5, 2, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 3, 3, 4, 4, 4, 4, 4, 2, 2, 2, 2, 1, 2, 4, 4, 4, 4, 3, 3, 3, 3, 3, 2, 3, 3, 4, 4, 4, 5, 3, 5, 5, 5, 4, 4, 4, 4, 5, 4, 4, 4, 4, 2, 2, 2, 3, 1, 2, 1, 3, 3, 4, 4, 3, 4, 5, 6, 4, 6, 4, 4, 4, 4, 4, 3, 3, 3, 3, 4, 3, 4, 2, 3, 3, 4, 4, 4, 3, 4, 4, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 2, 3, 4, 4, 4, 4, 4, 4, 3, 2, 2, 2, 4, 4, 2, 3, 3, 4, 4, 3, 3, 4, 3, 4, 3, 3, 4, 3, 3, 5, 5, 2, 5, 5, 5, 4, 3, 5, 3, 3, 6, 6, 6, 4, 6, 4, 3, 3, 1, 3, 3, 3, 3, 3, 3, 1, 1, 3, 3, 4, 4, 2, 1, 2, 2, 2, 2, 2, 3, 3, 3, 5, 3, 2, 1, 1, 2, 2, 5, 2, 0]"
0.0233154296875,30,85,"[6, 5, 4, 4, 3, 1, 2, 2, 2, 4, 2, 2, 2, 2, 2, 1, 1, 3, 4, 4, 4, 4, 4, 4, 3, 3, 4, 4, 3, 3, 5, 2, 2, 2, 2, 4, 2, 2, 3, 2, 3, 2, 1, 1, 3, 4, 4, 3, 3, 3, 5, 4, 3, 3, 3, 1, 2, 4, 4, 4, 4, 4, 4, 2, 4, 6, 5, 3, 3, 4, 4, 4, 6, 4, 4, 3, 2, 3, 1, 1, 1, 3, 3, 3, 2, 2, 2, 2, 2, 3, 4, 4, 3, 4, 3, 2, 3, 2, 1, 3, 2, 2, 3, 3, 3, 3, 3, 3, 5, 4, 4, 4, 3, 3, 3, 4, 4, 3, 3, 0]"
0.1150517463684082,30,213,"[6, 3, 3, 3, 3, 3, 3, 4, 3, 1, 3, 4, 4, 4, 4, 3, 4, 4, 3, 3, 5, 5, 5, 5, 5, 5, 3, 3, 4, 3, 4, 4, 2, 2, 2, 2, 3, 3, 2, 2, 2, 3, 2, 2, 5, 3, 3, 3, 5, 2, 4, 5, 4, 4, 1, 2, 2, 2, 2, 3, 3, 3, 2, 4, 4, 5, 3, 3, 5, 3, 3, 5, 3, 3, 3, 4, 4, 5, 5, 3, 2, 3, 2, 2, 4, 6, 4, 4, 4, 4, 2, 2, 2, 2, 3, 4, 4, 5, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3, 5, 5, 5, 3, 3, 2, 4, 3, 4, 4, 4, 4, 4, 4, 4, 5, 4, 4, 4, 4, 2, 2, 2, 2, 3, 4, 4, 2, 2, 2, 2, 2, 5, 5, 5, 5, 3, 3, 3, 3, 3, 4, 4, 3, 2, 5, 5, 5, 5, 5, 5, 2, 1, 3, 3, 5, 5, 3, 4, 4, 4, 3, 4, 4, 3, 4, 3, 3, 4, 2, 4, 4, 4, 4, 4, 4, 4, 2, 3, 2, 2, 2, 2, 2, 4, 3, 3, 3, 1, 1, 3, 1, 1, 3, 3, 4, 3, 3, 5, 4, 3, 3, 3, 3, 4, 3, 2, 2, 2, 2, 1, 2, 2, 1, 1, 1, 1, 1, 2, 2, 3, 2, 2, 2, 3, 2, 3, 4, 1, 1, 1, 3, 5, 4, 2, 2, 2, 3, 3, 2, 2, 4, 4, 2, 4, 4, 2, 4, 4, 5, 5, 4, 4, 4, 1, 3, 5, 3, 4, 3, 3, 3, 3, 3, 2, 2, 4, 4, 4, 4, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 1, 3, 3, 3, 3, 3, 3, 3, 3, 5, 4, 5, 2, 3, 3, 4, 4, 2, 1, 1, 0]"
0.06552720069885254,30,138,"[6, 4, 5, 4, 4, 4, 4, 3, 4, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 1, 1, 2, 1, 2, 2, 2, 2, 2, 5, 5, 4, 3, 2, 3, 4, 4, 5, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 4, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 4, 4, 2, 1, 2, 2, 2, 2, 2, 2, 4, 2, 2, 2, 1, 1, 3, 4, 3, 3, 3, 3, 4, 4, 5, 5, 5, 4, 4, 2, 3, 2, 2, 3, 2, 3, 5, 3, 4, 4, 5, 3, 2, 2, 3, 4, 4, 4, 4, 2, 1, 2, 2, 1, 2, 5, 3, 3, 3, 2, 3, 5, 5, 5, 2, 4, 3, 4, 3, 3, 1, 2, 2, 2, 4, 4, 4, 4, 4, 3, 2, 2, 2, 2, 3, 4, 4, 5, 5, 2, 5, 5, 4, 4, 4, 5, 5, 3, 1, 3, 3, 3, 3, 4, 3, 4, 2, 2, 4, 4, 4, 4, 4, 4, 4, 2, 2, 3, 3, 3, 2, 4, 1, 1, 0]"
