Tamaño,Algoritmo,Tiempos,Evaluaciones
4,vuelta_atras,"0.0001657009, 0.0001139641, 0.0001199245, 0.0000920296, 0.0000746250, 0.0000669956, 0.0000615120, 0.0000803471, 0.0000822544, 0.0000865459, 0.0000791550, 0.0000755787, 0.0000934601, 0.0000789165, 0.0000741482, 0.0000789165, 0.0000755787, 0.0000758171, 0.0000743866, 0.0000789165, 0.0000789165, 0.0000710487, 0.0000708103, 0.0000705719, 0.0000720024, 0.0005047321, 0.0000734329, 0.0000712872, 0.0001029968, 0.0001754761",7
4,ac_3,"0.0003859997, 0.0002944469, 0.0002679825, 0.0003006458, 0.0002939701, 0.0002803802, 0.0003190041, 0.0002787113, 0.0002646446, 0.0002284050, 0.0002806187, 0.0003221035, 0.0002713203, 0.0002694130, 0.0002684593, 0.0002505779, 0.0002665520, 0.0004868507, 0.0002415180, 0.0001666546, 0.0001864433, 0.0001945496, 0.0001657009, 0.0001585484, 0.0001504421, 0.0001480579, 0.0001583099, 0.0001487732, 0.0001497269, 0.0001475811",8
8,vuelta_atras,"0.0003635883, 0.0002179146, 0.0002124310, 0.0002086163, 0.0002095699, 0.0002522469, 0.0002312660, 0.0002110004, 0.0002102852, 0.0002303123, 0.0002090931, 0.0002081394, 0.0002789497, 0.0001933575, 0.0002062321, 0.0001935959, 0.0001933575, 0.0002231598, 0.0002334118, 0.0002772808, 0.0002152920, 0.0002474785, 0.0003659725, 0.0003614426, 0.0003757477, 0.0003354549, 0.0002090931, 0.0002074242, 0.0002772808, 0.0004143715",23
8,ac_3,"0.0031592846, 0.0039687157, 0.0050959587, 0.0048339367, 0.0044686794, 0.0031313896, 0.0021274090, 0.0031831264, 0.0031106472, 0.0021183491, 0.0025591850, 0.0015149117, 0.0023591518, 0.0020024776, 0.0015730858, 0.0020093918, 0.0024139881, 0.0018622875, 0.0013837814, 0.0013687611, 0.0012919903, 0.0017943382, 0.0013501644, 0.0013022423, 0.0013854504, 0.0014388561, 0.0020582676, 0.0016300678, 0.0016577244, 0.0013158321",92
10,vuelta_atras,"0.0014641285, 0.0013720989, 0.0017054081, 0.0013470650, 0.0013022423, 0.0012772083, 0.0015678406, 0.0022404194, 0.0017609596, 0.0012874603, 0.0013258457, 0.0021076202, 0.0022261143, 0.0014510155, 0.0012240410, 0.0012822151, 0.0014121532, 0.0021567345, 0.0021321774, 0.0015778542, 0.0020446777, 0.0013518333, 0.0013022423, 0.0015413761, 0.0013120174, 0.0012216568, 0.0013155937, 0.0021810532, 0.0020823479, 0.0013585091",226
10,ac_3,"0.0011193752, 0.0010380745, 0.0010850430, 0.0010159016, 0.0010318756, 0.0010218620, 0.0015056133, 0.0012588501, 0.0011031628, 0.0013048649, 0.0014178753, 0.0015704632, 0.0013942719, 0.0012633801, 0.0010311604, 0.0010173321, 0.0010988712, 0.0010671616, 0.0010383129, 0.0010244846, 0.0010166168, 0.0010211468, 0.0010228157, 0.0012125969, 0.0016887188, 0.0018451214, 0.0012774467, 0.0010609627, 0.0010182858, 0.0010304451",86
12,vuelta_atras,"0.0016605854, 0.0015263557, 0.0015039444, 0.0015895367, 0.0023550987, 0.0031182766, 0.0031628609, 0.0023572445, 0.0020625591, 0.0019092560, 0.0020234585, 0.0016334057, 0.0018019676, 0.0028164387, 0.0016660690, 0.0015389919, 0.0015132427, 0.0016114712, 0.0015091896, 0.0014975071, 0.0015311241, 0.0015177727, 0.0016267300, 0.0016772747, 0.0015158653, 0.0015201569, 0.0015022755, 0.0015420914, 0.0015304089, 0.0015501976",223
12,ac_3,"0.0078878403, 0.0066974163, 0.0062355995, 0.0064895153, 0.0079963207, 0.0083856583, 0.0062952042, 0.0065882206, 0.0064163208, 0.0062911510, 0.0074200630, 0.0062508583, 0.0069408417, 0.0062921047, 0.0064053535, 0.0109279156, 0.0065093040, 0.0070650578, 0.0063493252, 0.0081031322, 0.0063495636, 0.0062699318, 0.0070748329, 0.0066413879, 0.0080642700, 0.0064346790, 0.0063772202, 0.0063071251, 0.0062656403, 0.0079550743",613
